miRNA	value
hsa-miR-3613-5p	1.095243
hsa-miR-5584-3p	0.7934653
hsa-miR-520f-3p	0.764594
hsa-miR-4441	1.58634
hsa-miR-4417	23.9391
hsa-miR-6780a-3p	0.397786
hsa-miR-6866-3p	0.770511
hsa-miR-29a-3p	2.25007
hsa-miR-6855-3p	2.13628
hsa-miR-3184-3p	5.19072
hsa-miR-2113	8.25059
hsa-miR-5010-3p	10.95774
hsa-miR-887-3p	6.11139
hsa-miR-613	1.264209
hsa-miR-3150b-5p	2.48534
hsa-miR-3173-5p	0.690183
hsa-miR-4746-3p	8.87577
hsa-miR-5681b	1.023878
hsa-miR-4652-3p	1.34859
hsa-miR-6846-3p	5.71863
hsa-miR-199a-3p	0.798698
hsa-miR-221-3p	4.95081
hsa-miR-7107-3p	1.191944
hsa-miR-548m	1.488227
hsa-miR-4763-5p	2.479481
hsa-miR-376c-5p	0.790848
hsa-miR-186-5p	1.908465
hsa-miR-4655-5p	11.05227
hsa-miR-26b-3p	0.6720061
hsa-miR-767-3p	0.985648
hsa-miR-376a-5p	0.939799
hsa-miR-4460	1.97748
hsa-miR-3646	4.71794
hsa-miR-4697-3p	2.33973
hsa-miR-301a-5p	0.619353
hsa-miR-6847-3p	11.60117
hsa-miR-432-5p	9.17705
hsa-miR-26a-2-3p	0.728844
hsa-miR-766-3p	7.26366
hsa-miR-4307	1.416599
hsa-miR-454-5p	1.72674
hsa-miR-6777-5p	5.68375
hsa-miR-424-5p	0.292984
hsa-miR-30d-5p	50.7414
hsa-miR-5003-3p	7.41941
hsa-miR-7156-5p	11.49186
hsa-miR-3617-3p	1.086181
hsa-miR-4695-5p	13.63158
hsa-miR-10a-5p	0.634884
hsa-miR-6784-3p	5.22921
hsa-miR-129-5p	12.64626
hsa-miR-6793-5p	6.90577
hsa-miR-302a-3p	0.8274761
hsa-miR-4723-3p	3.50005
hsa-miR-520b	4.52649
hsa-miR-378a-3p	13.59904
hsa-miR-29c-3p	6.54453
hsa-miR-877-5p	7.61308
hsa-miR-371a-3p	0.783053
hsa-miR-186-3p	2.526686
hsa-miR-199b-5p	0.599222
hsa-miR-3924	0.5514894
hsa-miR-4688	2.12906
hsa-miR-30b-3p	2.49489
hsa-miR-556-3p	0.6243374
hsa-miR-181b-5p	5.75381
hsa-miR-3115	0.4190015
hsa-miR-5187-3p	0.298338
hsa-miR-548bb-3p	0.486739
hsa-miR-6873-3p	9.38053
hsa-miR-340-3p	0.50378
hsa-miR-6775-3p	8.65019
hsa-miR-208a-5p	12.29284
hsa-miR-7-5p	1.661176
hsa-miR-29b-2-5p	8.89007
hsa-miR-1227-3p	1.703308
hsa-miR-8087	11.60404
hsa-miR-6786-3p	-0.071545
hsa-miR-548n	0.534389
hsa-miR-136-5p	1.457583
hsa-miR-4750-3p	2.13401
hsa-miR-5088-5p	6.43277
hsa-miR-18b-3p	2.364707
hsa-miR-548y	1.38429
hsa-miR-6730-5p	8.06498
hsa-miR-4756-3p	0.645382
hsa-miR-6735-3p	2.40009
hsa-miR-8064	14.67717
hsa-miR-548b-5p	1.924867
hsa-miR-4796-5p	0.878392
hsa-miR-3147	9.87836
hsa-miR-4493	5.37993
hsa-miR-875-5p	0.42841431
hsa-miR-6877-3p	2.082202
hsa-miR-6890-3p	2.1921
hsa-miR-4694-5p	-0.26512985
hsa-miR-297	16.29934
hsa-miR-6774-5p	5.97809
hsa-miR-764	2.92302
hsa-miR-6776-3p	9.44185
hsa-miR-5583-3p	0.685827
hsa-miR-548ad-5p	1.178526
hsa-miR-6074	10.51005
hsa-miR-6864-3p	2.6943
hsa-miR-6511a-3p	5.24708
hsa-miR-548g-3p	0.652689
hsa-miR-3606-5p	0.882171
hsa-miR-1224-3p	5.98441
hsa-miR-133a-3p	1.45778
hsa-miR-15b-3p	0.8763956
hsa-miR-892a	0.6776658
hsa-miR-6845-5p	6.6765
hsa-miR-3198	5.43224
hsa-miR-1277-3p	0.768999
hsa-miR-6881-5p	1.909967
hsa-miR-103a-3p	5.95488
hsa-miR-1-5p	0.502372
hsa-miR-133b	1.204351
hsa-miR-548a-5p	0.78709642
hsa-miR-1260a	3.66944
hsa-miR-3692-5p	2.94514
hsa-miR-132-5p	1.550558
hsa-miR-513c-5p	1.680598
hsa-miR-548c-3p	0.839811
hsa-miR-145-3p	0.171419116
hsa-miR-4323	1.99798
hsa-miR-369-5p	0.895283
hsa-miR-6769a-5p	4.52191
hsa-miR-4692	4.06211
hsa-miR-6844	0.759155
hsa-miR-494-5p	4.27446
hsa-miR-6772-5p	7.71078
hsa-miR-380-3p	1.161405
hsa-miR-1294	3.17124
hsa-miR-338-5p	7.64669
hsa-miR-299-5p	0.21867
hsa-miR-374b-3p	0.6751846
hsa-miR-6509-3p	-0.072627
hsa-miR-4782-3p	0.453442
hsa-miR-6892-3p	2.105846
hsa-miR-876-5p	0.7264598
hsa-miR-29a-5p	1.057495
hsa-miR-449c-3p	8.59256
hsa-miR-6796-3p	2.07593
hsa-miR-154-5p	0.610332
hsa-miR-6839-3p	0.529156
hsa-miR-548aq-5p	2.357348
hsa-miR-20b-5p	13.40137
hsa-miR-525-5p	0.2461131
hsa-miR-6769b-3p	1.564738
hsa-miR-31-5p	9.80838
hsa-miR-4793-5p	7.95326
hsa-miR-4714-5p	1.061835
hsa-miR-450b-3p	0.31114331
hsa-miR-2277-3p	12.7593
hsa-miR-202-5p	0.815839
hsa-miR-5701	0.10781254
hsa-miR-3714	2.71534
hsa-miR-3920	0.462008
hsa-miR-208b-5p	0.66376
hsa-miR-6832-3p	0.734274
hsa-miR-219a-2-3p	8.97912
hsa-miR-519b-3p	0.23364792
hsa-miR-92a-2-5p	0.1819362
hsa-miR-6887-3p	0.9600908
hsa-miR-4528	0.703988
hsa-miR-96-5p	1.545895
hsa-miR-98-5p	0.536061
hsa-miR-6502-3p	-0.125701
hsa-miR-605-5p	2.92005
hsa-miR-1267	1.520422
hsa-miR-656-3p	0.807776
hsa-miR-34b-5p	0.534233
hsa-miR-449b-3p	1.248594
hsa-miR-190a-3p	0.456581
hsa-miR-6788-3p	1.560412
hsa-miR-519d-3p	1.621401
hsa-miR-3922-3p	0.374556
hsa-miR-6857-3p	2.6434
hsa-miR-26a-1-3p	0.5104826
hsa-miR-520c-3p	0.731445
hsa-miR-3927-5p	3.48055
hsa-miR-184	0.2869784
hsa-miR-1282	1.112287
hsa-miR-10b-5p	0.275384
hsa-miR-26b-5p	12.93299
hsa-miR-6501-5p	7.38839
hsa-miR-126-5p	0.481362
hsa-let-7a-3p	0.609327036
hsa-miR-450a-5p	0.43925468
hsa-miR-4716-3p	2.48509
hsa-miR-545-3p	2.70308
hsa-miR-6764-3p	-0.596597
hsa-miR-6887-5p	3.38466
hsa-miR-521	0.531975
hsa-miR-4640-3p	1.450574
hsa-miR-4700-3p	1.448961
hsa-miR-4720-5p	0.20438
hsa-miR-4295	0.1110817
hsa-miR-1976	1.253367
hsa-miR-6741-3p	2.4373
hsa-miR-664b-3p	1.76893
hsa-miR-381-5p	0.13433728
hsa-miR-3606-3p	0.413747
hsa-miR-6825-3p	0.013607
hsa-miR-93-5p	39.64004
hsa-miR-144-5p	2.103757
hsa-miR-4642	5.26858
hsa-miR-450b-5p	-0.1278274
hsa-miR-548ay-5p	1.179081
hsa-miR-544a	0.4883524
hsa-miR-3134	-0.03317264
hsa-miR-4707-5p	9.99344
hsa-miR-518d-3p	0.2364329
hsa-miR-1537-5p	0.5736539
hsa-miR-548ae-3p	0.20205
hsa-miR-6884-5p	3.64202
hsa-miR-3653-5p	0.806545
hsa-miR-1284	3.251186
hsa-miR-6826-3p	0.886023
hsa-miR-5690	0.3598711
hsa-miR-181a-3p	0.3365785
hsa-miR-3614-3p	0.562249
hsa-miR-551b-3p	0.317408
hsa-miR-30c-5p	0.589832
hsa-miR-4286	7.64067
hsa-miR-199a-5p	0.2534172
hsa-miR-6851-5p	19.58604
hsa-miR-30b-5p	0.5667923
hsa-let-7e-3p	0.030759
hsa-miR-548ab	0.745018
hsa-miR-609	5.64548
hsa-miR-891b	-0.2254678
hsa-miR-1256	-0.1804526
hsa-miR-106a-3p	-0.0810167
hsa-miR-7843-3p	0.73356959
hsa-miR-149-3p	9.98287
hsa-miR-371a-5p	15.66512
hsa-miR-520h	0.608137
hsa-miR-1229-3p	6.05394
hsa-miR-4668-3p	0.2707215
hsa-miR-6739-3p	2.17472
hsa-miR-125a-5p	0.1209723
hsa-miR-4259	3.25233
hsa-miR-6876-3p	0.2697903
hsa-miR-1323	1.273461
hsa-miR-4645-3p	1.173309
hsa-miR-5087	8.88547
hsa-miR-3682-3p	5.34924
hsa-miR-518a-3p	-0.00246964
hsa-miR-3915	-0.111863
hsa-miR-185-3p	2.97362
hsa-miR-302b-3p	0.4448461
hsa-miR-6841-3p	1.121389
hsa-miR-1303	2.164563
hsa-miR-522-3p	0.535434
hsa-miR-211-3p	7.05958
hsa-miR-3605-3p	0.0618416
hsa-miR-622	2.91334
hsa-miR-548x-3p	-0.143253
hsa-miR-4656	5.01453
hsa-miR-361-3p	2.60364
hsa-miR-1250-3p	1.491584
hsa-miR-6073	1.116352
hsa-miR-190b	0.3320384
hsa-miR-488-3p	0.789234
hsa-miR-544b	0.726752
hsa-miR-526b-5p	0.6027721
hsa-miR-3180-3p	19.50964
hsa-miR-4639-3p	0.1617105
hsa-miR-92b-3p	1.885809
hsa-miR-383-5p	3.641467
hsa-miR-6511b-3p	2.178803
hsa-miR-1909-5p	4.21602
hsa-miR-4699-3p	1.178811
hsa-miR-6867-3p	-0.18111181
hsa-miR-548b-3p	0.2856529
hsa-miR-374c-3p	0.48093
hsa-miR-373-3p	2.84972
hsa-miR-582-5p	0.4602094
hsa-miR-4760-3p	0.364455
hsa-miR-7108-3p	2.48134
hsa-miR-4803	2.109418
hsa-miR-3144-3p	0.523931
hsa-miR-5698	5.99245
hsa-miR-3617-5p	3.43535
hsa-miR-190a-5p	0.5068362
hsa-miR-4678	0.1411673
hsa-miR-642b-5p	0.4495754
hsa-miR-5704	0.317154392
hsa-miR-4509	0.159331
hsa-miR-548ba	0.2964573
hsa-miR-1179	2.11086
hsa-miR-4324	-0.4015743
hsa-miR-654-3p	0.594883
hsa-miR-4799-3p	-0.0418357
hsa-miR-4666a-3p	0.00024715
hsa-miR-362-3p	-0.209667
