miRNA	value
hsa-miR-29a-3p	4.14897
hsa-miR-6855-3p	0.628588
hsa-miR-3184-3p	0.463879
hsa-miR-2113	0.4377209
hsa-miR-5010-3p	1.734628
hsa-miR-887-3p	0.9519265
hsa-miR-613	0.30495735
hsa-miR-3150b-5p	0.799017
hsa-miR-3173-5p	0.480266
hsa-miR-4746-3p	0.702461
hsa-miR-5681b	0.410656
hsa-miR-4652-3p	1.420127
hsa-miR-6846-3p	0.4940196
hsa-miR-199a-3p	0.790744
hsa-miR-221-3p	0.595662
hsa-miR-7107-3p	0.5231378
hsa-miR-548m	0.707541
hsa-miR-4763-5p	0.250312
hsa-miR-376c-5p	0.785117
hsa-miR-186-5p	0.604554
hsa-miR-4655-5p	1.776459
hsa-miR-26b-3p	0.40787
hsa-miR-767-3p	0.972109
hsa-miR-376a-5p	0.552726
hsa-miR-4460	0.868786
hsa-miR-3646	0.936974
hsa-miR-4697-3p	0.43467
hsa-miR-301a-5p	0.2219762
hsa-miR-6847-3p	1.296723
hsa-miR-432-5p	1.081263
hsa-miR-26a-2-3p	0.8266403
hsa-miR-766-3p	1.886151
hsa-miR-4307	0.90304
hsa-miR-454-5p	1.03288
hsa-miR-6777-5p	1.26093
hsa-miR-424-5p	0.998225
hsa-miR-30d-5p	1.401252
hsa-miR-5003-3p	1.801043
hsa-miR-7156-5p	0.435802
hsa-miR-3617-3p	0.51613
hsa-miR-4695-5p	0.980742
hsa-miR-10a-5p	0.437997
hsa-miR-6784-3p	0.93969
hsa-miR-129-5p	0.462256
hsa-miR-6793-5p	1.072417
hsa-miR-302a-3p	0.704374
hsa-miR-4723-3p	0.543648
hsa-miR-520b	1.552695
hsa-miR-378a-3p	1.14689603
hsa-miR-29c-3p	3.44619
hsa-miR-877-5p	1.587545
hsa-miR-371a-3p	0.711166
hsa-miR-186-3p	1.987047
hsa-miR-199b-5p	0.887313
hsa-miR-3924	0.7686997
hsa-miR-4688	1.474728
hsa-miR-30b-3p	1.033044
hsa-miR-556-3p	0.83589
hsa-miR-181b-5p	0.885539
hsa-miR-3115	0.00734369
hsa-miR-5187-3p	0.1620697
hsa-miR-548bb-3p	0.5435544
hsa-miR-6873-3p	1.245833
hsa-miR-340-3p	0.930699
hsa-miR-6775-3p	1.413978
hsa-miR-208a-5p	1.200616
hsa-miR-7-5p	0.813814
hsa-miR-29b-2-5p	0.09728698
hsa-miR-1227-3p	0.2650987
hsa-miR-8087	2.52596
hsa-miR-6786-3p	-0.2031849
hsa-miR-548n	0.700195
hsa-miR-136-5p	0.556235
hsa-miR-4750-3p	0.5741278
hsa-miR-5088-5p	1.037351
hsa-miR-18b-3p	0.5431777
hsa-miR-548y	0.340128
hsa-miR-6730-5p	0.504661
hsa-miR-4756-3p	0.1044762
hsa-miR-6735-3p	-0.1093334
hsa-miR-8064	1.632601
hsa-miR-548b-5p	0.723307
hsa-miR-4796-5p	0.454202
hsa-miR-3147	1.523215
hsa-miR-4493	0.350176
hsa-miR-875-5p	0.4298217
hsa-miR-6877-3p	0.454208
hsa-miR-6890-3p	0.356315
hsa-miR-4694-5p	0.1315117
hsa-miR-297	3.734642
hsa-miR-6774-5p	1.156054
hsa-miR-764	0.3281016
hsa-miR-6776-3p	0.545511
hsa-miR-5583-3p	0.94531
hsa-miR-548ad-5p	0.590997
hsa-miR-6074	0.2402311
hsa-miR-6864-3p	-0.0944811
hsa-miR-6511a-3p	0.741388
hsa-miR-548g-3p	0.881775
hsa-miR-3606-5p	0.608774
hsa-miR-1224-3p	0.323526
hsa-miR-133a-3p	0.2185099
hsa-miR-15b-3p	0.787781
hsa-miR-892a	0.101643
hsa-miR-6845-5p	0.950347
hsa-miR-3198	0.2299733
hsa-miR-1277-3p	0.717386
hsa-miR-6881-5p	0.830383
hsa-miR-103a-3p	2.58241
hsa-miR-1-5p	0.745043
hsa-miR-133b	0.593952
hsa-miR-548a-5p	0.72338
hsa-miR-1260a	0.315809
hsa-miR-3692-5p	0.2028648
hsa-miR-132-5p	0.4895804
hsa-miR-513c-5p	0.4216
hsa-miR-548c-3p	1.068865
hsa-miR-145-3p	0.590123
hsa-miR-4323	0.700896
hsa-miR-369-5p	0.679375
hsa-miR-6769a-5p	0.843154
hsa-miR-4692	0.566176
hsa-miR-6844	0.731108
hsa-miR-494-5p	0.292305
hsa-miR-6772-5p	1.0202454
hsa-miR-380-3p	0.438207
hsa-miR-1294	0.786597
hsa-miR-338-5p	1.2232414
hsa-miR-299-5p	0.3681737
hsa-miR-374b-3p	0.6040208
hsa-miR-6509-3p	0.1771805
hsa-miR-4782-3p	-0.0241238
hsa-miR-6892-3p	0.818798
hsa-miR-876-5p	0.87856
hsa-miR-29a-5p	0.7299743
hsa-miR-449c-3p	0.2127356
hsa-miR-6796-3p	0.4725269
hsa-miR-154-5p	0.80116
hsa-miR-6839-3p	0.342334
hsa-miR-548aq-5p	0.764838
