miRNA	value
hsa-miR-6823-3p	0.343329
hsa-miR-576-5p	1.004523
hsa-miR-6746-5p	-0.0644793
hsa-miR-520d-3p	0.838989
hsa-miR-6790-5p	0.981284
hsa-miR-19a-3p	2.27947
hsa-miR-485-3p	0.839067
hsa-miR-196b-5p	1.629217
hsa-miR-7109-5p	-0.2827604
hsa-miR-885-5p	0.940002
hsa-miR-4538	0.1459688
hsa-miR-769-3p	-0.1856289
hsa-miR-181d-5p	0.49352
hsa-miR-6731-3p	1.352141
hsa-miR-1299	2.151201
hsa-miR-27a-3p	4.82028
hsa-miR-376b-5p	0.768966
hsa-miR-3916	-0.1241446
hsa-miR-4447	0.677916
hsa-miR-8060	1.06673
hsa-miR-6878-3p	0.693357
hsa-miR-6778-5p	0.1860518
hsa-miR-520a-3p	0.947211
hsa-miR-6734-5p	0.29799
hsa-miR-615-3p	0.3200654
hsa-miR-515-3p	0.710597
hsa-miR-1252-3p	0.74672
hsa-miR-6743-3p	1.169604
hsa-miR-4762-3p	0.839617
hsa-miR-610	1.404451
hsa-miR-548ai	1.284733
hsa-miR-6751-3p	0.825705
hsa-miR-505-3p	0.903143
hsa-miR-16-2-3p	1.409882
hsa-miR-6716-3p	0.981073
hsa-miR-6820-5p	0.51651
hsa-miR-6894-3p	1.192729
hsa-miR-302c-3p	0.850753
hsa-let-7g-5p	1.98779
hsa-miR-150-5p	4.02398
hsa-miR-129-1-3p	1.165416
hsa-miR-195-3p	0.950468
hsa-miR-3609	-0.209046
hsa-miR-5583-5p	1.734251
hsa-miR-6738-5p	1.338196
hsa-miR-6730-3p	0.5528386
hsa-miR-449b-5p	0.3458042
hsa-miR-3190-5p	1.361859
hsa-miR-520g-3p	0.8744
hsa-miR-7974	1.569444
hsa-miR-376a-2-5p	1.039524
hsa-miR-6757-3p	1.052552
hsa-miR-6741-5p	0.15554
hsa-miR-4707-3p	-0.443262
hsa-miR-4502	1.339002
hsa-miR-196a-5p	1.902016
hsa-miR-548am-5p	1.533621
hsa-miR-130b-3p	1.51543
hsa-miR-3151-3p	1.68911
hsa-miR-4753-3p	0.5652363
hsa-miR-4496	0.491743
hsa-miR-664a-3p	1.192534
hsa-miR-6809-5p	1.516557
hsa-miR-6754-5p	0.2869403
hsa-let-7f-5p	1.824223
hsa-miR-6792-3p	1.072492
hsa-miR-548d-5p	1.151183
hsa-miR-3121-5p	0.436578
hsa-miR-135b-5p	1.491531
hsa-miR-30c-2-3p	0.772776
hsa-miR-3940-3p	0.927412
hsa-miR-29c-5p	1.042219
hsa-miR-125a-3p	0.20824
hsa-miR-2053	1.077454
hsa-miR-6780b-3p	0.464941
hsa-miR-7114-3p	0.883661
hsa-miR-660-3p	0.3597653
hsa-miR-6885-3p	0.983538
hsa-miR-548az-5p	1.202948
hsa-miR-6083	1.492166
hsa-miR-204-5p	0.400513
hsa-miR-1470	0.90205
hsa-miR-338-3p	0.719003
hsa-miR-4713-3p	1.60489
hsa-miR-3923	1.336967
hsa-miR-369-3p	0.634082
hsa-miR-3613-5p	1.189773
hsa-miR-5584-3p	0.7047432
hsa-miR-520f-3p	0.0924013
hsa-miR-4441	0.237485
hsa-miR-4417	-0.73866
hsa-miR-6780a-3p	0.32199643
hsa-miR-6866-3p	0.5912665
hsa-miR-29a-3p	2.56288
hsa-miR-6855-3p	1.151786
hsa-miR-3184-3p	1.383921
hsa-miR-2113	0.318306
hsa-miR-5010-3p	1.588461
hsa-miR-887-3p	-0.3304234
hsa-miR-613	0.600946
hsa-miR-3150b-5p	0.891425
hsa-miR-3173-5p	0.586012
hsa-miR-4746-3p	-0.504351
hsa-miR-5681b	1.525668
hsa-miR-4652-3p	1.00196
hsa-miR-6846-3p	0.645627
hsa-miR-199a-3p	0.911861
hsa-miR-221-3p	0.50819546
hsa-miR-7107-3p	0.828795
hsa-miR-548m	1.096102
hsa-miR-4763-5p	-0.007096
hsa-miR-376c-5p	0.897737
hsa-miR-186-5p	1.238697
hsa-miR-4655-5p	0.605545
hsa-miR-26b-3p	0.7430026
hsa-miR-767-3p	1.116855
hsa-miR-376a-5p	0.651224
hsa-miR-4460	0.3805433
hsa-miR-3646	0.813534
hsa-miR-4697-3p	0.788611
hsa-miR-301a-5p	0.898744
hsa-miR-6847-3p	0.25692409
hsa-miR-432-5p	1.033216
hsa-miR-26a-2-3p	0.854362
hsa-miR-766-3p	2.569868
hsa-miR-4307	0.644115
hsa-miR-454-5p	1.056579
hsa-miR-6777-5p	0.849533
hsa-miR-424-5p	0.6990345
hsa-miR-30d-5p	2.066177
hsa-miR-5003-3p	0.878445
hsa-miR-7156-5p	-0.0774455
hsa-miR-3617-3p	0.844805
hsa-miR-4695-5p	-0.029614
hsa-miR-10a-5p	1.317371
hsa-miR-6784-3p	0.98104
hsa-miR-129-5p	-0.1014168
hsa-miR-6793-5p	0.964699
hsa-miR-302a-3p	0.604009
hsa-miR-4723-3p	0.995061
hsa-miR-520b	1.181756
hsa-miR-378a-3p	0.46840302
hsa-miR-29c-3p	1.867552
hsa-miR-877-5p	-0.5027179
hsa-miR-371a-3p	0.4680309
hsa-miR-186-3p	1.89325
hsa-miR-199b-5p	0.572559
hsa-miR-3924	0.950357
hsa-miR-4688	1.456181
hsa-miR-30b-3p	0.781002
hsa-miR-556-3p	1.181799
hsa-miR-181b-5p	0.401746
hsa-miR-3115	0.49541497
hsa-miR-5187-3p	0.13771859
hsa-miR-548bb-3p	0.4351017
hsa-miR-6873-3p	0.892071
hsa-miR-340-3p	0.5927417
hsa-miR-6775-3p	1.766861
hsa-miR-208a-5p	0.1008699
hsa-miR-7-5p	0.995643
hsa-miR-29b-2-5p	0.0775552
hsa-miR-1227-3p	1.3965388
hsa-miR-8087	1.051579
hsa-miR-6786-3p	0.53423
hsa-miR-548n	1.201633
hsa-miR-136-5p	0.831844
hsa-miR-4750-3p	2.079989
hsa-miR-5088-5p	0.4737805
hsa-miR-18b-3p	1.2116932
hsa-miR-548y	0.497734
hsa-miR-6730-5p	-0.2631065
hsa-miR-4756-3p	0.815944
hsa-miR-6735-3p	-0.249919
hsa-miR-8064	-0.479245
hsa-miR-548b-5p	0.997618
hsa-miR-4796-5p	1.201766
hsa-miR-3147	-0.0730968
hsa-miR-4493	0.84551
hsa-miR-875-5p	0.905283
hsa-miR-6877-3p	1.404095
hsa-miR-6890-3p	0.820342
hsa-miR-4694-5p	0.620829
hsa-miR-297	0.755705
hsa-miR-6774-5p	0.0371474
hsa-miR-764	0.414297
hsa-miR-6776-3p	0.704496
hsa-miR-5583-3p	0.893554
hsa-miR-548ad-5p	0.904912
hsa-miR-6074	0.013453
hsa-miR-6864-3p	0.1419327
hsa-miR-6511a-3p	0.386282
hsa-miR-548g-3p	1.622357
