miRNA	value
hsa-miR-6885-3p	-0.5511519
hsa-miR-548az-5p	-1.34525
hsa-miR-6083	1.327516
hsa-miR-204-5p	0.501853
hsa-miR-1470	0.756311
hsa-miR-338-3p	0.660111
hsa-miR-4713-3p	21.9488
hsa-miR-3923	2.107766
hsa-miR-369-3p	-0.1134
hsa-miR-3613-5p	1.29693
hsa-miR-5584-3p	-0.0793587
hsa-miR-520f-3p	1.428545
hsa-miR-4441	1.822368
hsa-miR-4417	9.83251
hsa-miR-6780a-3p	0.186855
hsa-miR-6866-3p	-0.141059
hsa-miR-29a-3p	7.15302
hsa-miR-6855-3p	1.333615
hsa-miR-3184-3p	-0.1465754
hsa-miR-2113	1.552257
hsa-miR-5010-3p	4.29657
hsa-miR-887-3p	2.731093
hsa-miR-613	0.1870672
hsa-miR-3150b-5p	0.910706
hsa-miR-3173-5p	-0.5816815
hsa-miR-4746-3p	6.37905
hsa-miR-5681b	0.385656
hsa-miR-4652-3p	2.703305
hsa-miR-6846-3p	-1.092175
hsa-miR-199a-3p	-0.346511
hsa-miR-221-3p	0.479735
hsa-miR-7107-3p	0.8017499
hsa-miR-548m	-0.54662
hsa-miR-4763-5p	1.911667
hsa-miR-376c-5p	-0.04992998
hsa-miR-186-5p	1.8086683
hsa-miR-4655-5p	4.09442
hsa-miR-26b-3p	0.025497
hsa-miR-767-3p	0.2399435
hsa-miR-376a-5p	-1.128345
hsa-miR-4460	1.035486
hsa-miR-3646	0.2045229
hsa-miR-4697-3p	-0.28032
hsa-miR-301a-5p	-0.07094
hsa-miR-6847-3p	0.442093
hsa-miR-432-5p	-0.008517
hsa-miR-26a-2-3p	0.214856
hsa-miR-766-3p	2.112
hsa-miR-4307	0.798084
hsa-miR-454-5p	2.4647
hsa-miR-6777-5p	0.721495
hsa-miR-424-5p	1.6653129
hsa-miR-30d-5p	23.4916
hsa-miR-5003-3p	3.434152
hsa-miR-7156-5p	2.29564
hsa-miR-3617-3p	1.052568
hsa-miR-4695-5p	5.72884
hsa-miR-10a-5p	-0.293625
hsa-miR-6784-3p	1.2218357
hsa-miR-129-5p	3.141455
hsa-miR-6793-5p	0.227836
hsa-miR-302a-3p	-0.766901
hsa-miR-4723-3p	0.268865
hsa-miR-520b	0.7139526
hsa-miR-378a-3p	5.04941
hsa-miR-29c-3p	24.4416
hsa-miR-877-5p	4.587048
hsa-miR-371a-3p	1.651948
hsa-miR-186-3p	2.865817
hsa-miR-199b-5p	1.503646
hsa-miR-3924	0.8800522
hsa-miR-4688	2.48525
hsa-miR-30b-3p	1.06315
hsa-miR-556-3p	1.020223
hsa-miR-181b-5p	0.225075
hsa-miR-3115	-0.8858503
hsa-miR-5187-3p	0.3218793
hsa-miR-548bb-3p	0.314721
hsa-miR-6873-3p	-0.0629862
hsa-miR-340-3p	1.05442
hsa-miR-6775-3p	-0.346619
hsa-miR-208a-5p	4.3296
hsa-miR-7-5p	3.162612
hsa-miR-29b-2-5p	0.9596738
hsa-miR-1227-3p	1.1003531
hsa-miR-8087	4.77949
hsa-miR-6786-3p	-0.004792
hsa-miR-548n	0.15421
hsa-miR-136-5p	1.2280452
hsa-miR-4750-3p	1.092803
hsa-miR-5088-5p	3.58775
hsa-miR-18b-3p	0.92269855
hsa-miR-548y	0.718619
hsa-miR-6730-5p	6.05664
hsa-miR-4756-3p	0.413851
hsa-miR-6735-3p	-1.176832
hsa-miR-8064	5.84762
hsa-miR-548b-5p	-0.1061407
hsa-miR-4796-5p	-0.045364
hsa-miR-3147	0.824754
hsa-miR-4493	-0.77209
hsa-miR-875-5p	0.2228975
hsa-miR-6877-3p	0.4799594
hsa-miR-6890-3p	0.952464
hsa-miR-4694-5p	1.455033
hsa-miR-297	0.11619522
hsa-miR-6774-5p	4.42515
hsa-miR-764	0.671919
hsa-miR-6776-3p	0.3186003
hsa-miR-5583-3p	0.99865
hsa-miR-548ad-5p	0.095101
hsa-miR-6074	0.755627
hsa-miR-6864-3p	0.780599
hsa-miR-6511a-3p	-1.072126
hsa-miR-548g-3p	-1.165598
hsa-miR-3606-5p	-0.608728
hsa-miR-1224-3p	2.035396
hsa-miR-133a-3p	0.4248018
hsa-miR-15b-3p	0.366274
hsa-miR-892a	-0.9893301
hsa-miR-6845-5p	2.297883
hsa-miR-3198	12.13319
hsa-miR-1277-3p	-0.750848
hsa-miR-6881-5p	3.510252
hsa-miR-103a-3p	43.27529
hsa-miR-1-5p	-0.1983354
hsa-miR-133b	0.4760281
hsa-miR-548a-5p	1.31174029
hsa-miR-1260a	1.265598
hsa-miR-3692-5p	4.19529
hsa-miR-132-5p	1.845611
hsa-miR-513c-5p	0.46565
hsa-miR-548c-3p	0.5484448
hsa-miR-145-3p	0.2304748
hsa-miR-4323	1.027
hsa-miR-369-5p	2.7743
hsa-miR-6769a-5p	3.162949
hsa-miR-4692	-0.431108
hsa-miR-6844	1.079153
hsa-miR-494-5p	-0.673919
hsa-miR-6772-5p	1.319116
hsa-miR-380-3p	-0.140525
hsa-miR-1294	-0.061157
hsa-miR-338-5p	-1.003823
hsa-miR-299-5p	-0.070516
hsa-miR-374b-3p	0.121781
hsa-miR-6509-3p	-0.539478
hsa-miR-4782-3p	0.136682
hsa-miR-6892-3p	2.451422
hsa-miR-876-5p	-0.5629356
hsa-miR-29a-5p	0.6377457
hsa-miR-449c-3p	-0.232859
hsa-miR-6796-3p	0.921751
hsa-miR-154-5p	1.350452
hsa-miR-6839-3p	-0.519447
hsa-miR-548aq-5p	1.600054
hsa-miR-20b-5p	74.2466
hsa-miR-525-5p	0.6045796
hsa-miR-6769b-3p	0.446795
hsa-miR-31-5p	0.956132
hsa-miR-4793-5p	4.2341
hsa-miR-4714-5p	0.231936
hsa-miR-450b-3p	-0.33422431
hsa-miR-2277-3p	0.752244
hsa-miR-202-5p	-0.020924
hsa-miR-5701	-0.728678
hsa-miR-3714	0.295991
hsa-miR-3920	-0.924848
hsa-miR-208b-5p	1.0298078
hsa-miR-6832-3p	-0.017807
hsa-miR-219a-2-3p	0.755376
hsa-miR-519b-3p	0.5179591
hsa-miR-92a-2-5p	-0.303858
hsa-miR-6887-3p	-0.945446
hsa-miR-4528	-1.205319
hsa-miR-96-5p	1.57147
hsa-miR-98-5p	0.181243
hsa-miR-6502-3p	-0.4654012
hsa-miR-605-5p	-0.4549374
hsa-miR-1267	-0.151522
hsa-miR-656-3p	-0.12834
hsa-miR-34b-5p	-0.880757
hsa-miR-449b-3p	-0.367769
hsa-miR-190a-3p	0.168949
hsa-miR-6788-3p	-0.752728
hsa-miR-519d-3p	-0.326345
hsa-miR-3922-3p	1.235133
hsa-miR-6857-3p	-0.650789
hsa-miR-26a-1-3p	1.4409896
hsa-miR-520c-3p	-0.503267
hsa-miR-3927-5p	0.4935753
hsa-miR-184	-1.425
hsa-miR-1282	-0.4612789
hsa-miR-10b-5p	0.654197
hsa-miR-26b-5p	46.2469
hsa-miR-6501-5p	1.599614
hsa-miR-126-5p	0.648145
hsa-let-7a-3p	0.3487358
hsa-miR-450a-5p	-0.76002
hsa-miR-4716-3p	5.88747
hsa-miR-545-3p	-0.108238
hsa-miR-6764-3p	-0.752114
hsa-miR-6887-5p	4.84005
hsa-miR-521	-0.297961
hsa-miR-4640-3p	0.64507
hsa-miR-4700-3p	1.217904
hsa-miR-4720-5p	0.268835
hsa-miR-4295	1.192437
hsa-miR-1976	0.569941
hsa-miR-6741-3p	0.020912
hsa-miR-664b-3p	1.199752
hsa-miR-381-5p	0.118114
hsa-miR-3606-3p	0.1182001
hsa-miR-6825-3p	-1.208071
hsa-miR-93-5p	73.84934
hsa-miR-144-5p	5.07492
hsa-miR-4642	0.927156
hsa-miR-450b-5p	0.5740797
hsa-miR-548ay-5p	-0.86346
hsa-miR-544a	-1.028808
hsa-miR-3134	0.3379175
hsa-miR-4707-5p	4.59136
hsa-miR-518d-3p	-0.612462
hsa-miR-1537-5p	-0.65349
hsa-miR-548ae-3p	0.851632
hsa-miR-6884-5p	-0.96065
hsa-miR-3653-5p	0.2204533
hsa-miR-1284	0.328641
hsa-miR-6826-3p	0.68445497
hsa-miR-5690	0.267657
hsa-miR-181a-3p	-0.90195
hsa-miR-3614-3p	-0.445309
hsa-miR-551b-3p	-0.6154917
hsa-miR-30c-5p	1.350139
hsa-miR-4286	2.23682
hsa-miR-199a-5p	0.711478
hsa-miR-6851-5p	7.0658
hsa-miR-30b-5p	3.12253
hsa-let-7e-3p	0.036856
hsa-miR-548ab	0.0770109
hsa-miR-609	1.1236217
hsa-miR-891b	-0.149086
hsa-miR-1256	-0.4663407
hsa-miR-106a-3p	-0.2750794
hsa-miR-7843-3p	-0.792098
hsa-miR-149-3p	2.11761
hsa-miR-371a-5p	4.5818009
hsa-miR-520h	1.022564
hsa-miR-1229-3p	1.988631
hsa-miR-4668-3p	0.900797
hsa-miR-6739-3p	-0.6612984
hsa-miR-125a-5p	-1.469743
hsa-miR-4259	0.792221
hsa-miR-6876-3p	0.7846561
hsa-miR-1323	0.2188703
hsa-miR-4645-3p	0.4437302
hsa-miR-5087	1.525425
hsa-miR-3682-3p	1.005637
hsa-miR-518a-3p	-0.958369
hsa-miR-3915	-1.495411
hsa-miR-185-3p	0.701462
hsa-miR-302b-3p	0.5580287
hsa-miR-6841-3p	0.059277
hsa-miR-1303	0.27013
hsa-miR-522-3p	-0.317821
hsa-miR-211-3p	3.02388
hsa-miR-3605-3p	0.51899
hsa-miR-622	1.775129
hsa-miR-548x-3p	-0.734403
hsa-miR-4656	3.91126
hsa-miR-361-3p	-0.391011
hsa-miR-1250-3p	1.21852
hsa-miR-6073	4.205737
hsa-miR-190b	0.104118
hsa-miR-488-3p	0.250809
hsa-miR-544b	-0.3993572
hsa-miR-526b-5p	-0.142354
hsa-miR-3180-3p	8.96534
hsa-miR-4639-3p	-0.360605
hsa-miR-92b-3p	0.39024887
hsa-miR-383-5p	-0.580834
hsa-miR-6511b-3p	0.4825191
hsa-miR-1909-5p	-0.4522488
hsa-miR-4699-3p	-0.261876
hsa-miR-6867-3p	0.5988141
hsa-miR-548b-3p	0.1860895
hsa-miR-374c-3p	0.226845
hsa-miR-373-3p	-1.15765
hsa-miR-582-5p	-0.596909
hsa-miR-4760-3p	-1.161399
hsa-miR-7108-3p	0.0536609
hsa-miR-4803	0.13822
hsa-miR-3144-3p	0.066803
hsa-miR-5698	0.510919
hsa-miR-3617-5p	3.21677
hsa-miR-190a-5p	-0.6107606
hsa-miR-4678	1.794541
hsa-miR-642b-5p	-1.102988
